"Path","Lines","SizeKB"
"D:\projects\admin-dashboard\lib\patientIndexer.ts","915","23.1"
"D:\projects\admin-dashboard\app\(admin)\settings\use-settings-page.ts","878","23"
"D:\projects\admin-dashboard\lib\reportImport.ts","865","21.4"
"D:\projects\admin-dashboard\app\(admin)\reports\patients\lib\patientUtils.ts","701","19"
"D:\projects\admin-dashboard\app\(admin)\products\page.tsx","691","17.6"
"D:\projects\admin-dashboard\app\components\patients\PatientDocumentsPanel.tsx","691","20"
"D:\projects\admin-dashboard\app\(admin)\users\page.tsx","689","14.9"
"D:\projects\admin-dashboard\lib\patientProfiles.ts","589","13.9"
"D:\projects\admin-dashboard\app\(admin)\reports\upload\hooks\useImportJobs.ts","555","13.5"
"D:\projects\admin-dashboard\app\(admin)\reports\hospice\hospice-utils.ts","524","13.3"
"D:\projects\admin-dashboard\app\(admin)\products\hooks\useProducts.ts","512","13.9"
"D:\projects\admin-dashboard\app\(admin)\orders\page.tsx","509","15.2"
"D:\projects\admin-dashboard\app\(admin)\products\components\ProductForm.tsx","506","15.5"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\page.tsx","481","11.4"
"D:\projects\admin-dashboard\app\(admin)\inventory\page.tsx","480","12.6"
"D:\projects\admin-dashboard\app\(admin)\reports\patients\page.tsx","476","15.2"
"D:\projects\admin-dashboard\app\components\reports\ServerImportUploader.tsx","476","12.7"
"D:\projects\admin-dashboard\app\(admin)\reports\upload\hooks\useUploadQueue.ts","462","11.4"
"D:\projects\admin-dashboard\app\(admin)\inventory\hooks\useInventoryActions.ts","454","12.8"
"D:\projects\admin-dashboard\app\(admin)\reports\upload\upload-utils.ts","442","9.8"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryForm.tsx","422","11.4"
"D:\projects\admin-dashboard\app\(admin)\reports\upload\components\ImportJobsTable.tsx","415","15.2"
"D:\projects\admin-dashboard\app\(admin)\dashboard\use-dashboard-data.ts","410","9"
"D:\projects\admin-dashboard\lib\insuranceIndex.ts","410","9.6"
"D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadQueueItem.tsx","406","11.8"
"D:\projects\admin-dashboard\app\components\admin\AdminSidebar.tsx","400","10.2"
"D:\projects\admin-dashboard\lib\patientReports.ts","379","11.4"
"D:\projects\admin-dashboard\app\(admin)\orders\hooks\useOrderMutations.ts","376","10.4"
"D:\projects\admin-dashboard\lib\reportPatients.ts","365","11.1"
"D:\projects\admin-dashboard\app\components\reports\ReportUploadCard.tsx","358","10.6"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\JarvisPanel.tsx","354","13.6"
"D:\projects\admin-dashboard\app\(admin)\dashboard\dashboard-normalizers.ts","340","7.9"
"D:\projects\admin-dashboard\app\(admin)\ai\page.tsx","327","11.4"
"D:\projects\admin-dashboard\lib\analytics\rebuildDashboardAnalytics.ts","324","8.5"
"D:\projects\admin-dashboard\app\(admin)\settings\hooks\use-settings-page.ts","320","6.3"
"D:\projects\admin-dashboard\lib\inventory\smartMergeInventory.ts","306","7.9"
"D:\projects\admin-dashboard\app\(admin)\reports\patients\lib\patientTypes.ts","302","6.6"
