"Path","File","Note"
"D:\projects\admin-dashboard\app\(admin)\orders\lib\orderSecurity.ts","orderSecurity.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientBirthdayPanel.tsx","PatientBirthdayPanel.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientDetailHeader.tsx","PatientDetailHeader.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientDetailPrimitives.tsx","PatientDetailPrimitives.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientInfoSections.tsx","PatientInfoSections.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientReportSources.tsx","PatientReportSources.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientRiskPanel.tsx","PatientRiskPanel.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientStatsGrid.tsx","PatientStatsGrid.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\hooks\usePatientActions.ts","usePatientActions.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\lib\patientMutations.ts","patientMutations.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\patients\lib\patientActions.ts","patientActions.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\upload\components\RecentImportJobCard.tsx","RecentImportJobCard.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\upload\components\RecentImportJobs.tsx","RecentImportJobs.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadQueueControls.tsx","UploadQueueControls.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipEmployeeCard.tsx","WipEmployeeCard.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipEmptyState.tsx","WipEmptyState.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipSearchBar.tsx","WipSearchBar.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipSummaryCards.tsx","WipSummaryCards.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipTaskDrawer.tsx","WipTaskDrawer.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipTrendChart.tsx","WipTrendChart.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\reports\wip\hooks\use-wip-analytics.ts","use-wip-analytics.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\settings\components\company\CompanyLab.tsx","CompanyLab.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\settings\components\layout\SaveBar.tsx","SaveBar.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\settings\components\layout\SettingsShell.tsx","SettingsShell.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\settings\components\layout\SettingsTabs.tsx","SettingsTabs.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\settings\components\users\UserIdentityCard.tsx","UserIdentityCard.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\(admin)\settings\components\users\UserPasswordCard.tsx","UserPasswordCard.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\components\modals\wip\WipDetailsModal.tsx","WipDetailsModal.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\components\modals\wip\WipEscalationModal.tsx","WipEscalationModal.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\app\components\ui\DataTable.tsx","DataTable.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\components\charts\WipAgingChart.tsx","WipAgingChart.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\components\charts\WipCompletionChart.tsx","WipCompletionChart.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\components\charts\WipEmployeeLoadChart.tsx","WipEmployeeLoadChart.tsx","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\ai\generate-summary.ts","generate-summary.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\ai\patient-risk-analysis.ts","patient-risk-analysis.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\ai\wip-analysis.ts","wip-analysis.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\commandCenter\buildComplianceIssues.ts","buildComplianceIssues.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\dashboardUi.ts","dashboardUi.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\firestore\wip\getEmployeeWips.ts","getEmployeeWips.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\firestore\wip\getWipAnalytics.ts","getWipAnalytics.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\firestoreSafeActions.ts","firestoreSafeActions.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\firestoreWriteQueue.ts","firestoreWriteQueue.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\fingerprints\build-import-fingerprint.ts","build-import-fingerprint.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\normalizers\normalize-patient.ts","normalize-patient.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\normalizers\normalize-row.ts","normalize-row.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\parsers\parse-csv.ts","parse-csv.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\parsers\parse-pdf.ts","parse-pdf.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\processors\process-hospice-report.ts","process-hospice-report.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\processors\process-patient-report.ts","process-patient-report.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\processors\process-wip-report.ts","process-wip-report.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\routing\infer-report-type.ts","infer-report-type.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\transforms\map-brightree-row.ts","map-brightree-row.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\imports\validation\validate-import-row.ts","validate-import-row.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\patientReports.ts","patientReports.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\reportDetection.ts","reportDetection.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\reportImport.ts","reportImport.ts","Filename not referenced directly. Verify before deleting."
"D:\projects\admin-dashboard\lib\reportPatients.ts","reportPatients.ts","Filename not referenced directly. Verify before deleting."
