cokey,insurance,insgroupingname,insaddr,inscitystzip,insphone,PayorCo,PayorGrp,PlanType,PriceTable,claimform,branch,submitterid,providernbr,BranchPriceTable,ClaimPrg,ECSName,HoldAccount,PayPercentage,SubmissionTypeName,AutoCrossover,Medigap,MedigapNo,PrintBalanceDuePayor,WorkersCompensationClaims,Signature,RemittanceAddress1,RemittanceAddress2,RemittanceCity,RemittanceState,RemittanceZipCode,OverrideSubmissionToPrint,PayorCoverageTypeNames,InsuranceStatus
104,[Patient],[Patient]104, ,,,,Patient Pay,,Retail,Patient Invoice,Advanced Home Medical Inc,,,Retail,Other,,False,100,Print,2,False,,False,False,,2212 FT. CAMPBELL BLVD.,,HOPKINSVILLE,Kentucky,422404665 ,False,"DME, Major Medical",Active
113,DMERC B (INS008),DMERC B (INS008)113,ASF PO BOX 7027,"INDIANAPOLIS, IN 46207-7027",(877) 299 7900,,Medicare,Medicare,Medicare,HCFA 1500 ICD-10,Advanced Home Medical Inc,B08076925,4951430001,Medicare,Medicare,CEDI B 5010,False,80,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
240,AAG (INS219),AAG (INS219)240,PO 612989 ,"DALLAS, TX 75261-2989",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
241,AARP (D) (INS010),AARP (D) (INS010)241,UNITED HEALTHCARE CLAIM DIV ,"ATLANTA, GA 30374-0819",(800) 227 7789,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
242,AARP (INS324),AARP (INS324)242,601 EAST STREET NW ,"WASHINGTON, DC 20049     ",(888) 687 2277,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
243,ADVANTRA FREEDOM (MCR) (INS322),ADVANTRA FREEDOM (MCR) (INS322)243,PO BOX 7154 ,"LONDON, KY 40742     ",(800) 713 5095,,Private Insurance,,Medicare,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
244,AETNA (INS156),AETNA (INS156)244,PO 981107 ,"EL PASO, TX 79998-1107",(800) 423 3289,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
245,AETNA (INS180),AETNA (INS180)245,10401 LIM STA RD ,"LOUISVILLE, KY 40232     ",(800) 423 3289,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
246,AETNA (D) (INS302),AETNA (D) (INS302)246,PO BOX 14089 ,"LEXINGTON, KY 40512-4089",(888) 632 3862,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
247,AFLAC (INS212),AFLAC (INS212)247,1932 WYNNTON RD ,"COLUMBUS, GA 31999-7253",(800) 992 3522,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
248,AIG (INS181),AIG (INS181)248,PO BOX 1822 ,"ALPHARETTA, GA 30023     ",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
249,AIG ACCIDENT AND HEALTH (INS363),AIG ACCIDENT AND HEALTH (INS363)249,PO BOX 3726 ,"SEATTLE, WA 98124     ",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
250,ALLIANCE COAL (INSOP4),ALLIANCE COAL (INSOP4)250,PO BOX211577 ,"EAGAN, MN 55121     ",(859) 685 6336,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
251,AMERICAN CONTINENTAL INS CO (INS335),AMERICAN CONTINENTAL INS CO (INS335)251,PO BOX 2368 ,"BRENTWOOD, TN 37024     ",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
252,AMERICAN HEALTH GROUP (INS198),AMERICAN HEALTH GROUP (INS198)252,PO 1500 ,"MAUMEE, OH 43537     ",(800) 861 5770,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
253,AMERICAN HERITAGE LIFE INS CO (INS395),AMERICAN HERITAGE LIFE INS CO (INS395)253,PO BOX 853916 ,"RICHARDSON, TX 78085-3916",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
254,AMERICAN LIFE INS CO OF TEXAS (INS399),AMERICAN LIFE INS CO OF TEXAS (INS399)254,PO BOX 696800 ,"SAN ANTONIO, TX 78269     ",(800) 899 6520,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
255,AMERICAN ZURICH INSURANCE (INSOPN),AMERICAN ZURICH INSURANCE (INSOPN)255,1400 AMERICAN LANE ,"SCHAUMBURG, IL 60196     ",(847) 605 6000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
256,ANTHEM (INS170),ANTHEM (INS170)256,PO BOX 105187 ,"ATLANTA, GA 30348     ",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (BCBS) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
257,ANTHEM BLUE MEDICARE ACCESS (INSOPK),ANTHEM BLUE MEDICARE ACCESS (INSOPK)257,PO BOX 105187 ,"ATLANTA, GA 30348     ",(800) 467 1199,,Private Insurance,Medicare,Medicare,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Medicare,Group Health Plan,Capario (BCBS) 5010,False,80,Electronic,2,False,,True,False,,,,,,,False,DME,Active
258,APWU (INS243),APWU (INS243)258,PO 967 ,"SILVER SPRING, MD 20910     ",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
259,ASSURANT HEALTH (INSOOY),ASSURANT HEALTH (INSOOY)259,PO BOX 2806 ,"CLINTON, IA 52733-2806",(800) 256 2680,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
260,AULTCARE (INSOPP),AULTCARE (INSOPP)260,PO BOX 6910 ,"CANTON, OH 44706     ",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
261,BAKERY & CONFECT UNION (INSOP7),BAKERY & CONFECT UNION (INSOP7)261,10401 CONNECTICUT AVENUE ,"KENSINGTON, MD 20895-3960",(800) 223 4276,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
262,BANKERS LIFE (INS011),BANKERS LIFE (INS011)262,PO BOX 1935 ,"CARMEL, IN 46082-1935",(800) 231 9150,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
263,BC (D)(INS165),BC (D)(INS165)263,PO 37690 ,"LOUISVILLE, KY 40233-7690",(888) 650 4133,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (BCBS) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
264,BCBS ILLINOIS (INS247),BCBS ILLINOIS (INS247)264,PO 37690 ,"LOUISVILLE, KY 40233-7690",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (BCBS) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
265,BCBS OF MICHIGAN (INS115),BCBS OF MICHIGAN (INS115)265,ATTN   NASCO PO BOX 173383,"DENVER, CO 80217-3383",(800) 216 0795,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (BCBS) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
266,BCBS OF SOUTH CAR (INS103),BCBS OF SOUTH CAR (INS103)266,CLAIMS PROCESSING UNIT PO BOX 100300,"COLUMBIA, SC 29202     ",(800) 334 2583,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (BCBS) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
267,BCBS TEXAS (INS329),BCBS TEXAS (INS329)267,PO BOX 37690 ,"LOUISVILLE, KY 40233-7690",(800) 521 2227,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (BCBS) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
268,BENESIGHT (INS277),BENESIGHT (INS277)268,PO BOX 360 ,"PUEBLO, CO 81002     ",(877) 370 6032,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
269,BLUEGRASS (INS163),BLUEGRASS (INS163)269,PO BOX 22322 ,"LEXINGTON, KY 40522-2322",(800) 787 2680,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
270,BLUEGRASS FAMILY HEALTH (INSOPS),BLUEGRASS FAMILY HEALTH (INSOPS)270,PO BOX 22295 ,"LEXINGTON, KY 40522     ",(877) 449 7378,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
271,BLUEGRASS HEALTH NETWORK (INS341),BLUEGRASS HEALTH NETWORK (INS341)271,PO BOX 23700 ,"LOUISVILLE, KY 40223     ",(866) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
272,BLUEGRASS SLEEP LAB (INS387),BLUEGRASS SLEEP LAB (INS387)272,101 WEST 18TH STREET ,"HOPKINSVILLE, KY 42240     ",(270) 885 4890,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,,,Commercial,Other,,False,100,Print,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
273,BRANDSPIRE (INS389),BRANDSPIRE (INS389)273,PO BOX 25104 ,"LEHIGH VALLEY, PA 18002-5104",(800) 800 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
274,CCMSI (INS348),CCMSI (INS348)274,PO BOX 43909 ,"LOUISVILLE, KY 40253     ",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
275,CENTRAL RESERVE (INS248),CENTRAL RESERVE (INS248)275,PO 30010 ,"AUSTIN, TX 78755-3010",(800) 945 8554,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
276,CHA HEALTH   HUMANA (INS188),CHA HEALTH   HUMANA (INS188)276,PO BOX 14601 ,"LEXINGTON, KY 40512-4601",(800) 457 5683,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
277,CHRISTIAN CARE MEDI SHARE (INS372),CHRISTIAN CARE MEDI SHARE (INS372)277,PO BOX 674 ,"STERLING, IL 61081     ",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
278,CIGNA (INS154),CIGNA (INS154)278,PO 17402 ,"DES MOINES, IA 50306     ",(800) 244 6224,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
279,CIGNA (INS179),CIGNA (INS179)279,PO 964 ,"BRISTOL, CT 06011-0964",(800) 244 6224,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
280,CIGNA (D)(INS240),CIGNA (D)(INS240)280,PO 182223 ,"CHATTANOOGA, TN 37422     ",(800) 244 6224,Cigna,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
281,CIGNA (INSOP1),CIGNA (INSOP1)281,PO BOX 5710 ,"SCRANTON, PA 18505-5710",(866) 459 4272,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
282,CIGNA IL (INS193),CIGNA IL (INS193)282,PO 3099 ,"BOURBONNA, IL 60914     ",(800) 244 6224,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
283,CINCINNATI INS (INS151),CINCINNATI INS (INS151)283,PO 546 CLAIMS SPECIALIST,"HOPKINSVILLE, KY 42241-0546",(270) 886 3590,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
284,CLAIMS MANAGEMENT (INS152),CLAIMS MANAGEMENT (INS152)284,PO 1288 ,"BENTONVILLE, AR 72712-1288",(479) 621 9200,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
285,COLLINS & CO. (INS259),COLLINS & CO. (INS259)285,516 S. 6TH ST ,"MAYFIELD, KY 42066     ",(270) 251 0974,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
286,COMBINED INS CO (INS224),COMBINED INS CO (INS224)286,PO 568 ,"LANGHORNE, PA 19047     ",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
287,CONSECO HEALTH (INS186),CONSECO HEALTH (INS186)287,PO BOX 2034 ,"CARMEL, IN 46082-2034",(800) 541 2254,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
288,CONSOCIATE DANSIG (INS254),CONSOCIATE DANSIG (INS254)288,PO BOX 1068 ,"DECATUR, IL 62525-1068",(800) 972 7038,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
289,CONTINENTAL GEN (INS267),CONTINENTAL GEN (INS267)289,PO 29136 ,"SHAWNEE MISSION, KS 66201     ",(800) 284 2898,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
290,CONTINENTAL LIFE (INS216),CONTINENTAL LIFE (INS216)290,PO 1188 ,"BRENTWOOD, TN 37027-5033",,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
291,CONTRACT CLAIM SERVICES (INS365),CONTRACT CLAIM SERVICES (INS365)291,PO BOX 541388 ,"DALLAS, TX 75354-1388",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
292,COVENTRY CARES OF KENTUCKY (INSOPG),COVENTRY CARES OF KENTUCKY (INSOPG)292,PO BOX 7812 ,"LONDON, KY 40742     ",(855) 300 5528,,Private Insurance,,Coventry Cares,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Coventry Cares,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
293,CUMBERLAND HALL (INS377),CUMBERLAND HALL (INS377)293,210 WEST 17TH STREET ,"HOPKINSVILLE, KY 42240     ",(270) 889 2101,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,,,Commercial,Other,,False,100,Print,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
294,DEFINITY HEALTH (INS297),DEFINITY HEALTH (INS297)294,PO BOX 740810 ,"ATLANTA, GA 30374-0810",(866) 333 4648,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
295,DESERET MUTUAL (INS396),DESERET MUTUAL (INS396)295,PO BOX 45530 ,"SALT LAKE CITY, UT 84145-0530",(800) 000 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
296,EMPLOYEE BENEFIT CONSULTANTS (INSOOQ),EMPLOYEE BENEFIT CONSULTANTS (INSOOQ)296,PO BOX 530603 ,"BIRMINGHAM, AL 35253     ",(205) 802 4886,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
297,EMPLOYERS HEALTH (INS025),EMPLOYERS HEALTH (INS025)297,1100 EMPLOYERS BLVD. ,"GREEN BAY, WI 54344     ",(000) 000 0800,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
298,FARM BUREAU INSURANCE (INS390),FARM BUREAU INSURANCE (INS390)298,PO BOX 20600 9201 BUNSEN PARKWAY,"LOUISVILLE, KY 40250-0600",(502) 493 7663,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
299,FARM BUREAU INSURANCE (INSOPJ),FARM BUREAU INSURANCE (INSOPJ)299,PO BOX 958 ,"ELIZABETHTOWN, KY 42702     ",(270) 886 8123,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
300,FARMERS INSURANCE (INS035),FARMERS INSURANCE (INS035)300,P.O. BOX 60699 ,"COLORADO SPRINGS, CO 80960     ",(719) 540 2965,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
301,FCE BENEFITS (INSOP6),FCE BENEFITS (INSOP6)301,4615 WALZEM ROAD  STE 300 ,"SAN ANTONIO, TX 78218     ",(800) 801 0000,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
302,FIRST HEALTH (INS124),FIRST HEALTH (INS124)302,PO BOX 9500 ,"CORAOPOLIS, PA 15108     ",(800) 336 8003,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
303,FISERVE HEALTH (INS278),FISERVE HEALTH (INS278)303,PO 520 ,"PUEBLO, CO 81002     ",(800) 235 7160,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
304,FISERVE HEALTH (INS369),FISERVE HEALTH (INS369)304,PO BOX 8082 ,"WAUSAU, WI 54402-8013",(866) 542 1255,,Private Insurance,,Commercial,HCFA 1500 ICD-10,Advanced Home Medical Inc,30526966,,Commercial,Other,Capario (Commercial) 5010,False,100,Electronic,2,False,,True,False,,,,,,,False,"DME, Major Medical",Active
