ItemID,itemname,Descr,Lotted,itemtype,itemgroup,glgroup,salestype,itemstatus,AutoReorder,Weight,depretype,EstResidualAmt,EstUsefulLifeMo,manf,ManfItemID,UPC,User1,User2,User3,User4,KitItem,multiplier,baseitemid,CoverageTypeKey,PayorCoverageTypeNames,StockingUOM,StockingUOMAbbreviation
A4216,"ST. WATER, 10CC PER UNIT",,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4217,"ST. WATER / SALINE, 500 ML",,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4253,TEST STRIPS,50 STRIPS PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:______EXP:______,,,,,,False,,,,,,
A4253 AUTODISC,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253 BREEZE 2,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253 CONTOUR,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253 CONTOUR TS,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253 FREESTYLE,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253 FREESTYLE LITE,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:_______________,,,,,,False,,,,,,
A4253 PRODIGY,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253 ULTRA,TEST STRIPS,50 PER BOX,True,Non-Serialized,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,LOT:__________________,EXP:________________,,,,,,False,,,,,,
A4253ANY,TEST STRIPS,50 PER BOX,False,Generic,Diabetic - Supplies,,Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4296,coude tip hydrophilic catheter,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4310,"INSERTION TRAY, W/O BAG AND CATHETER",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4311,CATH KIT WITHOUT BAG,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4322,"IRRIGATION SYRINGE, EA",,False,Basic,Enteral - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A4326,MALE EXTERNAL CATHETER,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4331,Ext drainage tubing,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4332,"LUBE, STERILE PACKET, EA",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4334,URINARY CATH LEG STRAP,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:_______________,,,,,,False,,,1,DME,,
A4335,CATH SHEATH HOLDER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A4338,"INDWELLING CATHETER, LATEX",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4349,DISP MALE CATHETER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A4351,"CATHETERS, STRAIGHT TIP, URINARY",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4352,COUDE TIP CATHETER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4353,INTERMITTENT URINARY CATH W/LUBE,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A4357,BEDSIDE DRAINAGE BAG,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4358,LEG BAG,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4362,"SKIN BARRIER, SOLID",EACH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4364,"ADH spray, per OZ",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4367,OSTOMY BELT,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4368,OSTOMY FILTER,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4369,"SKIN BARRIER, LIQUID, PER OZ",,False,Basic,HME - Misc,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4371,"SKIN BARRIER POWDER, PER OZ",,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A4373,skin barrier w/flange,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A4385,"BARRIER RING, EA",,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4388,DRAINABLE POUCH WITH WAFER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4389,drainable pouch w/barrier,,False,Basic,Supplies - Medical/Surgical,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4390,"DRAINABLE POUCH, EA",5 PER BOX,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4394,OSTOMY LIQ DEO,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4397,IRRIGATION SLEEVE,EACH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4402,"LUBRICANT, PER OZ",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4406,"PASTE, OSTOMY, PECTIN BASED",PER OUNCE.  2 OUNCES PER TUBE,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4407,"WAFER, EA",10 PER BOX
SQB-411361,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A4409,"SKIN BARRIER, EA",,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4411,"OSTOMY SKIN BARRIER, EXT",,False,Basic,HME - Misc,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4414,SKIN BARRIER,EACH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4415,SKIN BARRIER,EACH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4416,OSTOMY POUCH/BARRIER W/FILTER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4419,"POUCH, OSTOMY, CLOSED, 2 1/4, EA",60 PER BOX,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4421,"ADAPTERS, DRAIN TUBE","ADAPTERS, 10 PER BOX",False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4424,OSTOMY POUCH W/ BARRIER & FILTER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4425,"POUCH, OSTOMY, DRAINABLE, EA",,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4426,"OSTOMY POUCH, 2PC DRAIN",,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4427,OSTOMY POUCH,,False,Basic,HME - Misc,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4428,UROSTOMY POUCH,10 PER BOX,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4432,OSTOMY POUCH,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
a4433,"OSTOMY POUCH, UROSTOMY",,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4452,MEDIPORE TAPE,1 UNIT = 6 INCHES,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4455,"ADV REMOVER, PER OZ",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4456,"ADH. REMOVER WIPES, EA",,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4466,ELASTIC GARMENT,,False,Basic,Orthopedics,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A4554,DISPOSABLE UNDERPAD,30X36,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4557,"LEAD WIRES, PR",PER PAIR,False,Basic,Tens,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4595,TENS SUPPLIES,,False,Basic,Tens,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4604,CPAP TUBING WITH HEATING ELEMENT,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4623,INNER CANNULA,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4624,"SUCTION CATHETER, TRACHEAL,EA",,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4627,SPACER RESERVOIR,,False,Basic,Respiratory - Nebulizers,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4628,YANKAUER SUCTION CATH,,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A4629,"TRACHEOSTOMY CARE KIT, EA",,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A4640,"Alt pressure pad, replacement",,False,Basic,Beds - Specialty,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5054,"OSTOMY POUCH, CLOSED",EACH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A5056,1 PC OSTOMY POUCH WITH BARRIER,10 PER BOX / 40 ALLOWED PER MONTH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5057,1pc pouch w/convex ring,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
a5061,1pc drainable cut to fit pouch/wafer,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5063,"POUCH, OSTOMY, DRAINABLE",EACH,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A5073,urinary pouch,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5082,STOMA CATHETER,,False,Basic,HME - Incontinence Products,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5102,NIGHTIME DRAIN BOTTLE,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5114,LEG BAG STRAP,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5120,"SKIN BARRIER, WIPE OR SWAB","EACH, 25 PER BOX",False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A5121,SOLID SKIN BARRIER 6X6,,False,Basic,HME - Misc,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A5500,DIABETIC SHOE,,False,Basic,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A5512,DIABETIC SHOE INSERT,,False,Basic,Diabetic - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A6021,COLLAGEN DRESSING <=16IN,,False,Basic,Supplies - Medical/Surgical,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A6252,ABD PAD 5X9,1 UNIT  = 1 PAD,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A6402,ST. GAUZE 4X4,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A6530,"COMPRESSION STOCKINGS, 18-30MMHG, PR, BK",,False,Basic,COMPRESSION HOSE,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A6531,"COMPRESSION STOCKING, BK 30-40MMHG",EACH,False,Basic,COMPRESSION HOSE,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A6532,"COMPRESSON STOCKING, BK, 40-50",,False,Basic,COMPRESSION HOSE,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A6545,"MEDI, CIRCAID, JUXTALITE, STOCKING",,False,Basic,COMPRESSION HOSE,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,ID:_________________,,,,,,False,,,1,DME,,
A6549,GAUNTLET COMPRESSION STOCKING,,False,Basic,COMPRESSION HOSE,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7000,"DISPOSABLE CANNISTER FOR SUCTION PUMP,EA",,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A7002,"TUBING USED FOR SUCTION PUMP, EA",,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A7003,"NEBULIZER ADM. SET, DISPOSABLE",,False,Basic,Respiratory - Nebulizers,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A7004,"Neb kit, no mouthpiece, sm vol",,False,Basic,Respiratory - Nebulizers,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7005,"NEBULIZER KIT, REUSABLE",,False,Basic,Respiratory - Nebulizers,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A7013,NEBULIZER FILTER,,False,Basic,Respiratory - Nebulizers,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7015,"NEBULIZER MASK, ADULT / PEDIATRIC",,False,Basic,Respiratory - Nebulizers,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A7027,COMBINATION ORAL/NASAL MASK,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7028,ORAL CUSHION COMBO,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A7029,NASAL PILLOW COMBO,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,,,,
A7030,CPAP FULL FACE MASK,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,SM     MED      LG,LOT:_______________________,,,,,False,,,1,DME,,
A7031,"CPAP CUSHION, FULL FACE",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,SM   MED   LG,LOT:____________________,,,,,False,,,1,DME,,
A7031 ANY,"CUSHION, FULL FACE",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A7032,"CUSHION, NASAL, CPAP",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,SM   MED   LG,LOT:____________________,,,,,False,,,1,DME,,
A7033,"CPAP NASAL PILLOWS, REPLACEMENT",PAIR,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,SM    MED    LG,,,,,,False,,,1,DME,,
A7034,"MASK, CPAP, NASAL",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,SM   MED   LG,LOT:____________________,,,,,False,,,1,DME,,
A7035,"HEADGEAR, CPAP",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7036,CHINSTRAP,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A7037,"TUBING, CPAP",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A7038,"DISPOSABLE FILTER, CPAP",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A7039,"NON DISPOSABLE FILTER, CPAP",,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
A7046,CPAP HUMIDIFIER CHAMBER,,False,Basic,CPAP/BiLevel Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,,,,,,False,,,1,DME,,
A7507,filter holder in moist heat exchange,,False,Basic,Respiratory - Suction,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7520,"TRACH TUBE, UNCUFFED",,False,Basic,Respiratory - Misc.,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7521,"TRACH TUBE, CUFFED",,False,Basic,Respiratory - Misc.,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A7526,TRACH TUBE HOLDER,,False,Basic,Supplies - Medical/Surgical,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A9270,"LIFT CHAIR, FURNITURE PART",,False,Serialized,HME - Misc,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,,SN:___________________________,,,,,False,,,1,DME,,
A9281,reacher/grabber,,False,Basic,Aids to Living,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
A9286,PERSONAL CLEANSING CLOTHS,,False,Basic,Urologicals,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
B4034,ENTERAL FEEDING SYRINGE/KIT,,False,Basic,Enteral - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
B4035,FEEDING BAG,,False,Basic,Enteral - Supplies,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:________________,,,,,,False,,,1,DME,,
B4150-REPLETE W/FIB,REPLETE WITH FIBER,,True,Non-Serialized,Enteral - Nutrients,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,,,,,,,,False,,,1,DME,,
B4152,EF CALORIE DENSE>/+1.5KCAL,100 CAL = 1 UNIT,True,Non-Serialized,Enteral - Nutrients,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT:_____EXP:_______,,,,,,False,,,1,DME,,
B4154,EF SPEC METABOLIC NONINHERIT,100 CAL = 1 UNIT,True,Non-Serialized,Enteral - Nutrients,"Advanced Home Medical, Inc.",Purchase,Active,False,,,,,MFG: _____________________ MDL/#: ________________,LOT: _____ EXP:_____,,,,,,False,,,1,DME,,
