ItemID,ItemName,LocationName,UPC,ManufacturerItemID,ItemType,ItemGroupName,OnHandQty,OnRentQty,OnOrderQty,AvailableQty,CommittedQty,DepreciationName,SalesType,ItemStatus,GLName,ManufacturerName,LotNumber,ExpirationDate
A4253 BREEZE 2,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,1,0,0,1,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,1A6327AA,4/30/2014 12:00:00 AM
A4253 BREEZE 2,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,1A6383AA,
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW2JC3D06B,
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW2MC3005A,12/31/2014 12:00:00 AM
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,1,0,0,1,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW2MC3D06A,12/31/2014 12:00:00 AM
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW2MC3F07B,12/31/2014 12:00:00 AM
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW2MC3F12A,12/31/2014 12:00:00 AM
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW3AD3E02A,1/31/2015 12:00:00 AM
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,-4,4,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW3AJ3B02B,1/31/2015 12:00:00 AM
A4253 CONTOUR,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,0,0,0,0,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW3AJ3BO2B,1/15/2013 12:00:00 AM
A4253 CONTOUR TS,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,6,0,0,6,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,DW3AD3E02A,1/31/2015 12:00:00 AM
A4253 FREESTYLE,TEST STRIPS,Main Location,,EXP:________________,Non-Serialized,Diabetic - Supplies,8,0,0,8,0,,Purchase,Active,"Advanced Home Medical, Inc.",LOT:__________________,1077915,4/30/2013 12:00:00 AM
