Name,SerialNbr,AvailQty,OnRentQty,DtSold,ItemID,ItemName
Main Location,0001577,1,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001769,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001771,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001772,0,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001773,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001774,1,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001776,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001784,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001785,0,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001792,0,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001801,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001802,0,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001804,1,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001806,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001811,1,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001819,0,1,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0001821,0,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0002169,1,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,0002418,1,0,,K0738,HOMEFILL
Main Location,0007822,1,0,,E1390 EVERFLO,"Oxygen Concentrator, single del. port"
Main Location,00081108,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081114,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081117,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081133,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081135,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081143,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081145,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081146,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081152,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081163,1,0,,E0439,"STATIONARY LIQUID, O2 System"
Main Location,00081186,1,0,,E0439,"STATIONARY LIQUID, O2 System"
