"Path","LineNumber","Pattern","Line"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditDetails.tsx","20","bg-black","<div className=""rounded-2xl border border-white/50 bg-white/50 p-4 backdrop-blur-xl dark:border-white/10 dark:bg-black/20"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditDetails.tsx","32","bg-white","<section className=""sticky top-6 h-fit max-h-[calc(100vh-3rem)] overflow-auto rounded-3xl border border-white/50 bg-white/60 p-6 shadow-sm backdrop-blur-2xl dark:border-white/10 dark:bg-white/[0.06]"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditDetails.tsx","87","bg-black","<div className=""rounded-2xl border border-white/50 bg-white/50 p-4 backdrop-blur-xl dark:border-white/10 dark:bg-black/20"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditDetails.tsx","92","text-slate-","<pre className=""mt-3 max-h-[500px] overflow-auto whitespace-pre-wrap text-xs text-slate-800 dark:text-slate-200"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditFilters.tsx","35","bg-white","<section className=""rounded-3xl border border-white/50 bg-white/60 p-4 shadow-sm backdrop-blur-2xl dark:border-white/10 dark:bg-white/[0.06]"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditFilters.tsx","55","bg-black","className=""w-full rounded-2xl border border-white/50 bg-white/70 py-3 pl-11 pr-4 text-sm outline-none backdrop-blur-xl transition focus:border-blue-400/60 focus:ring-4 focus:ring-blue-500/10 dark:border-white/10 dark:bg-black/20"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditFilters.tsx","120","bg-black","className=""inline-flex items-center justify-center gap-2 rounded-2xl border border-white/50 bg-white/70 px-4 py-3 text-sm font-medium backdrop-blur-xl transition hover:bg-white/90 dark:border-white/10 dark:bg-black/20 dark:hover:bg-white/[0.08]"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditList.tsx","68","bg-white",": ""border-white/10 bg-white/[0.045] hover:bg-white/[0.07]"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditWatchList.tsx","32","bg-white","<section className=""rounded-3xl border border-white/50 bg-white/60 p-5 shadow-sm backdrop-blur-2xl dark:border-white/10 dark:bg-white/[0.06]"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditWatchList.tsx","44","bg-black","className=""w-full rounded-2xl border border-white/50 bg-white/50 p-3 text-left backdrop-blur-xl transition hover:bg-white/80 dark:border-white/10 dark:bg-black/20 dark:hover:bg-white/[0.08]"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditWatchList.tsx","71","bg-black","className=""w-full rounded-2xl border border-red-500/20 bg-white/40 p-3 text-left backdrop-blur-xl transition hover:bg-red-500/10 dark:bg-black/20"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\SelectField.tsx","28","bg-black","className=""w-full rounded-2xl border border-white/50 bg-white/70 px-4 py-3 text-sm outline-none backdrop-blur-xl transition focus:border-blue-400/60 focus:ring-4 focus:ring-blue-500/10 dark:border-white/10 dark:bg-black/20"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\SelectField.tsx","31","text-white","<option key={option.value} value={option.value} className=""bg-white text-slate-950 dark:bg-slate-950 dark:text-white"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\components\SummaryCard.tsx","15","bg-white",": ""border-white/50 bg-white/60 dark:border-white/10 dark:bg-white/[0.06]"""
"D:\projects\admin-dashboard\app\(admin)\audit-logs\page.tsx","289","text-slate-","<div className=""relative flex items-center gap-3 p-6 text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\page.tsx","333","text-slate-","<div className={""inline-flex items-center gap-2 rounded-full border border-white/10 bg-white/10 px-3 py-1 text-xs font-semibold uppercase tracking-[0.18em] text-slate-200 shadow-sm backdrop-blur-xl""}>"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\page.tsx","369","text-white","className={""inline-flex items-center justify-center gap-2 rounded-2xl border border-white/10 bg-transparent px-4 py-2 text-sm font-semibold text-slate-300 transition hover:bg-white/10 hover:text-white disabled:cursor-not-allowed disabled:opacity-50""}"
"D:\projects\admin-dashboard\app\(admin)\audit-logs\page.tsx","382","text-slate-","className={""inline-flex items-center justify-center gap-2 rounded-2xl bg-cyan-300 px-5 py-3 text-sm font-bold text-slate-950 shadow-lg shadow-cyan-500/20 transition hover:bg-cyan-200 disabled:cursor-not-allowed disabled:opacity-50""}"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\CommandHero.tsx","10","border-white","<section className=""rounded-3xl border border-white/10 bg-gradient-to-br from-white/[0.08] via-neutral-950/90 to-red-950/30 p-6 shadow-2xl shadow-black/30 backdrop-blur-2xl"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\CommandHero.tsx","17","text-white","<h1 className=""mt-2 text-3xl font-bold tracking-tight text-white md:text-4xl"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\CommandHero.tsx","28","bg-black","<div className=""rounded-2xl border border-white/10 bg-black/30 px-4 py-3 text-sm text-neutral-300 backdrop-blur-xl"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\CommandHero.tsx","36","text-white","Monitoring <strong className=""text-white"">{openIssues}</strong>{"" ""}"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\EmptyState.tsx","7","bg-white","<div className=""rounded-2xl border border-dashed border-white/10 bg-white/[0.03] p-6 text-sm leading-6 text-neutral-400"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\MiniCard.tsx","17","text-white","<p className=""mt-2 min-w-0 break-words text-2xl font-black leading-none tracking-tight text-white"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\Panel.tsx","12","bg-white","<section className=""rounded-3xl border border-white/10 bg-white/[0.06] p-5 shadow-xl shadow-black/20 backdrop-blur-2xl"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\Panel.tsx","14","bg-white","<div className=""rounded-2xl border border-white/10 bg-white/5 p-2"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\Panel.tsx","19","text-white","<h2 className=""text-lg font-bold text-white"">{title}</h2>"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\StatCard.tsx","21","bg-white","<div className=""rounded-3xl border border-white/10 bg-white/[0.06] p-5 shadow-xl shadow-black/20 backdrop-blur-2xl"">"
"D:\projects\admin-dashboard\app\(admin)\command-center\components\StatCard.tsx","29","text-white","<p className=""mt-2 text-3xl font-bold text-white"">{value}</p>"
"D:\projects\admin-dashboard\app\(admin)\command-center\utils\commandCenterFormat.ts","32","bg-white","return ""border-white/10 bg-white/5 text-neutral-300"";"
"D:\projects\admin-dashboard\app\(admin)\dashboard\components\sections\RentalsSection.tsx","24","bg-black","className=""rounded-2xl border border-white/10 bg-black/20 p-4"""
"D:\projects\admin-dashboard\app\(admin)\dashboard\components\sections\RentalsSection.tsx","30","text-white","<p className=""text-sm text-white/50"">"
"D:\projects\admin-dashboard\app\(admin)\dashboard\components\sections\RentalsSection.tsx","34","text-white","<p className=""mt-2 text-sm font-semibold text-white"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\FilterSelect.tsx","22","text-white","className=""rounded-2xl border border-white/10 bg-black/45 px-4 py-3 text-sm text-white outline-none shadow-inner shadow-black/20 backdrop-blur-xl transition focus:border-white/30 focus:bg-black/55"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\ScanInput.tsx","23","text-slate-","<label htmlFor={inputId} className=""mb-2 block text-sm text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\ScanInput.tsx","35","text-white","className=""w-full rounded-2xl border border-white/10 bg-black/45 px-4 py-3 text-white outline-none placeholder:text-slate-600 shadow-inner shadow-black/20 backdrop-blur-xl transition focus:border-white/30 focus:bg-black/55"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\ScanInput.tsx","41","text-white","className=""rounded-2xl border border-white/10 bg-white/10 px-4 text-white shadow-lg shadow-black/20 backdrop-blur-xl transition hover:bg-white/15"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\SearchInput.tsx","21","text-white","className=""w-full rounded-2xl border border-white/10 bg-black/45 py-3 pl-10 pr-4 text-sm text-white outline-none placeholder:text-slate-600 shadow-inner shadow-black/20 backdrop-blur-xl transition focus:border-white/30 focus:bg-black/55"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\SelectInput.tsx","24","text-slate-","<label htmlFor={selectId} className=""mb-2 block text-sm text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\SelectInput.tsx","34","text-white","className=""w-full rounded-2xl border border-white/10 bg-black/45 px-4 py-3 text-white outline-none shadow-inner shadow-black/20 backdrop-blur-xl transition focus:border-white/30 focus:bg-black/55"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\Textarea.tsx","16","text-slate-","<label htmlFor={textareaId} className=""mb-2 block text-sm text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\Textarea.tsx","28","text-white","className=""w-full resize-none rounded-2xl border border-white/10 bg-black/45 px-4 py-3 text-white outline-none placeholder:text-slate-600 shadow-inner shadow-black/20 backdrop-blur-xl transition focus:border-white/30 focus:bg-black/55"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\TextInput.tsx","24","text-slate-","<label htmlFor={inputId} className=""mb-2 block text-sm text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\fields\TextInput.tsx","37","text-white","className=""w-full rounded-2xl border border-white/10 bg-black/45 px-4 py-3 text-white outline-none placeholder:text-slate-600 shadow-inner shadow-black/20 backdrop-blur-xl transition focus:border-white/30 focus:bg-black/55"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryBatchActions.tsx","25","text-white","className=""inline-flex items-center gap-2 rounded-2xl border border-white/10 bg-white/10 px-4 py-2 text-sm text-white shadow-lg shadow-black/20 backdrop-blur-xl transition hover:bg-white/15"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryBatchActions.tsx","35","shadow-black","className=""rounded-2xl border border-yellow-500/20 bg-yellow-500/10 px-4 py-2 text-sm text-yellow-200 shadow-lg shadow-black/20 backdrop-blur-xl transition hover:bg-yellow-500/20 disabled:cursor-not-allowed disabled:opacity-40"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryBatchActions.tsx","44","shadow-black","className=""rounded-2xl border border-red-500/20 bg-red-500/10 px-4 py-2 text-sm text-red-300 shadow-lg shadow-black/20 backdrop-blur-xl transition hover:bg-red-500/20 disabled:cursor-not-allowed disabled:opacity-40"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryBatchActions.tsx","49","bg-black","<span className=""rounded-2xl border border-white/10 bg-black/40 px-4 py-2 text-sm ${typography.bodyMuted} shadow-inner shadow-black/20 backdrop-blur-xl"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryEmptyState.tsx","9","bg-black","<div className=""rounded-2xl border border-white/10 bg-black/30 p-8 text-center shadow-inner shadow-black/20"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryEmptyState.tsx","10","bg-white","<div className=""mx-auto mb-3 flex h-12 w-12 items-center justify-center rounded-2xl bg-white/10"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryEmptyState.tsx","11","text-slate-","<ClipboardList className=""h-6 w-6 text-slate-300"" />"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryHeader.tsx","19","bg-white","<section className=""rounded-[2rem] border border-white/10 bg-white/[0.07] p-6 shadow-2xl shadow-black/30 backdrop-blur-2xl"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryHeader.tsx","22","bg-white","<div className=""rounded-2xl border border-white/10 bg-white/10 p-3 shadow-inner shadow-white/5"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryHeader.tsx","46","text-white","className=""inline-flex items-center gap-2 rounded-2xl border border-white/10 bg-white/10 px-4 py-3 text-sm font-semibold text-white shadow-lg shadow-black/20 backdrop-blur-xl transition hover:bg-white/15"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryHeader.tsx","55","text-white","className=""inline-flex items-center gap-2 rounded-2xl border border-white/10 bg-white/10 px-4 py-3 text-sm font-semibold text-white shadow-lg shadow-black/20 backdrop-blur-xl transition hover:bg-white/15"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryLoadingState.tsx","7","bg-black","<div className=""space-y-3 rounded-2xl border border-white/10 bg-black/30 p-4"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryLoadingState.tsx","8","text-slate-","<div className=""flex items-center gap-2 text-sm text-slate-300"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryLoadingState.tsx","14","bg-white","<div className=""h-20 animate-pulse rounded-2xl bg-white/5"" />"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryLoadingState.tsx","15","bg-white","<div className=""h-20 animate-pulse rounded-2xl bg-white/5"" />"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryLoadingState.tsx","16","bg-white","<div className=""h-20 animate-pulse rounded-2xl bg-white/5"" />"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryPills.tsx","7","text-slate-","<span className=""inline-flex rounded-full border border-white/10 bg-white/10 px-3 py-1 text-xs capitalize text-slate-200 shadow-sm backdrop-blur-xl"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryStats.tsx","50","shadow-black","className={`rounded-[1.5rem] border p-5 shadow-2xl shadow-black/20 backdrop-blur-xl ${"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryStats.tsx","53","bg-white",": ""border-white/10 bg-white/[0.07]"""
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryStats.tsx","57","bg-white","<div className=""rounded-2xl bg-white/10 p-3 shadow-inner shadow-white/5"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryStats.tsx","61","text-slate-","<Boxes className=""h-5 w-5 text-slate-100"" />"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryStats.tsx","67","text-white","<p className=""text-2xl font-bold text-white"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryTable.tsx","30","border-white","<div className=""overflow-x-auto rounded-2xl border border-white/10"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryTable.tsx","32","bg-white","<thead className=""bg-white/5 ${typography.bodyMuted} backdrop-blur-xl"">"
"D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryTableRow.tsx","62","bg-white","<tr className=""border-t border-white/10 align-top hover:bg-white/[0.04]"">"
"D:\projects\admin-dashboard\app\(admin)\orders\components\ImportPanel.tsx","94","text-white","className=""mt-2 w-full min-w-[230px] rounded-2xl border border-white/10 bg-black/45 px-4 py-3 text-sm text-white outline-none"""
"D:\projects\admin-dashboard\app\(admin)\orders\components\OrderModal.tsx","47","bg-black","className=""fixed inset-0 z-50 flex items-center justify-center bg-black/70 px-4 py-6 backdrop-blur-xl"""
"D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersHeader.tsx","30","text-white","<h1 className=""mt-3 text-3xl font-bold tracking-tight text-white"">"
"D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersHeader.tsx","34","text-zinc-","<p className=""mt-1 max-w-3xl text-sm text-zinc-400"">"
"D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersHeader.tsx","49","text-zinc-","className=""pointer-events-none absolute left-3 top-1/2 h-4 w-4 -translate-y-1/2 text-zinc-500"""
"D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersTabs.tsx","29","shadow-black","className={`rounded-2xl border px-4 py-2 text-sm font-semibold shadow-inner shadow-black/20 backdrop-blur-xl transition ${"
"D:\projects\admin-dashboard\app\(admin)\orders\components\OrdersTabs.tsx","32","text-zinc-",": ""border-white/10 bg-white/[0.05] text-zinc-300 hover:bg-white/[0.09]"""
"D:\projects\admin-dashboard\app\(admin)\orders\components\SmartCommandStrip.tsx","34","text-white","<h2 className=""inline-flex items-center gap-2 text-lg font-semibold text-white"">"
"D:\projects\admin-dashboard\app\(admin)\orders\components\SmartCommandStrip.tsx","39","text-zinc-","<p className=""mt-1 text-sm text-zinc-400"">"
"D:\projects\admin-dashboard\app\(admin)\orders\components\SmartCommandStrip.tsx","92","shadow-black","className={`rounded-2xl border px-4 py-3 text-left shadow-inner shadow-black/20 backdrop-blur-xl transition ${"
"D:\projects\admin-dashboard\app\(admin)\orders\components\SmartCommandStrip.tsx","95","bg-white",": ""border-white/10 bg-white/[0.04] hover:bg-white/[0.08]"""
