"Count","Name"
"10","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryForm.tsx"
"10","D:\projects\admin-dashboard\app\components\barcode-scanner\BarcodeScannerModal.tsx"
"8","D:\projects\admin-dashboard\app\(admin)\orders\page.tsx"
"8","D:\projects\admin-dashboard\app\components\admin\AdminCommandPalette.tsx"
"8","D:\projects\admin-dashboard\app\components\modals\HipaaSafetyModal.tsx"
"8","D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditDetails.tsx"
"8","D:\projects\admin-dashboard\app\(admin)\inventory\page.tsx"
"8","D:\projects\admin-dashboard\app\(admin)\users\components\UserDirectory.tsx"
"7","D:\projects\admin-dashboard\app\(admin)\products\components\ProductMobileCard.tsx"
"7","D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipTable.tsx"
"7","D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalMobileCard.tsx"
"7","D:\projects\admin-dashboard\app\(admin)\products\components\ProductInputs.tsx"
"7","D:\projects\admin-dashboard\app\(admin)\products\components\ProductForm.tsx"
"7","D:\projects\admin-dashboard\app\components\admin\AdminProfileMenu.tsx"
"7","D:\projects\admin-dashboard\app\(admin)\orders\lib\orderUi.ts"
"7","D:\projects\admin-dashboard\app\components\reports\ReportsImportsTable.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditWatchList.tsx"
"6","D:\projects\admin-dashboard\app\components\admin\AdminShellTopbar.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientDetailHeader.tsx"
"6","D:\projects\admin-dashboard\app\components\admin\AdminNotifications.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\products\components\ProductFilters.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\products\components\ProductCatalog.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\rentals\page.tsx"
"6","D:\projects\admin-dashboard\app\components\barcode-scanner\components\HardwareScannerPanel.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadRulesPanel.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadQueueList.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\dashboard\components\sections\BirthdaysSection.tsx"
"6","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadQueue.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\command-center\components\CommandHero.tsx"
"5","D:\projects\admin-dashboard\app\components\admin\AdminGlobalSearch.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\settings\components\users\UserRow.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\reports\components\ReportSectionGrid.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\command-center\components\HospiceList.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\products\components\ProductTableRow.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalsHeader.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\users\components\UsersFilters.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\audit-logs\page.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\products\components\ProductHero.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\settings\page.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryLoadingState.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\audit-logs\components\AuditFilters.tsx"
"5","D:\projects\admin-dashboard\app\components\barcode-scanner\components\ManualScannerPanel.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\BatchHealthPanel.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryEmptyState.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\inventory\components\InventoryHeader.tsx"
"5","D:\projects\admin-dashboard\app\components\admin\AdminSidebar.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\settings\components\shared\ToggleRow.tsx"
"5","D:\projects\admin-dashboard\app\(admin)\settings\components\users\UsersTable.tsx"
"4","D:\projects\admin-dashboard\app\components\MaintenanceGate.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\reports\analytics\components\AnalyticsSourceCard.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\rentals\components\RentalForm.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\page.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\command-center\components\TaskList.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\rentals\components\StatCard.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\settings\components\company\RecentActivityCard.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\reports\upload\components\UploadBatchActions.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\users\components\CreateUserPanel.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\reports\patients\[patientId]\components\PatientReportSources.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\reports\wip\components\WipErrorState.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\products\components\ProductStatsGrid.tsx"
"4","D:\projects\admin-dashboard\app\components\auth\AuthGuard.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\dashboard\components\sections\RentalsSection.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\orders\components\SmartFiltersPanel.tsx"
"4","D:\projects\admin-dashboard\app\(admin)\command-center\components\Panel.tsx"
